competitions_id,teamId,team_rank,totalTeams,profile_id_str,flags,team_capacity,members_num,avg_abi,avg_qua,avg_par,country_num
14313,3289653,1114,2749,aminejait;zineelabidine,1,59.48 ,2,0.11 ,888.50 ,2.50 ,1
14313,3289721,413,2749,pjoshi;morodertobias;juergenschiefele,1,84.98 ,3,0.47 ,1215.00 ,7.33 ,1
12500,3289826,739,3165,rifatjahanazad;tasnimfatima,1,76.65 ,2,0.29 ,1353.00 ,7.50 ,1
12500,3291819,55,3165,ratthachat;prasertsak,1,98.26 ,2,3.19 ,1287.00 ,19.50 ,1
3288,32931,174,223,waitingkuo;zoepeng,1,21.97 ,2,0.02 ,3097.50 ,2.50 ,1
14313,3294593,881,2749,yassirbendou;ricquie,1,67.95 ,2,0.07 ,826.50 ,2.50 ,2
14313,3295487,141,2749,betterthanbutter;paniquex;buseinov;sorrow321,1,94.87 ,4,0.71 ,991.25 ,9.00 ,1
5048,329710,670,1438,danfujimura;sankichi92,1,53.41 ,2,0.02 ,1859.50 ,1.00 ,1
14315,3297389,41,558,insaff;leon7archer;suvalex;bolkonsky,1,92.65 ,4,3.44 ,1771.00 ,48.50 ,1
14239,3298681,1469,1832,stevenajordan;mrod17,1,19.81 ,2,0.09 ,1077.00 ,2.00 ,2
12500,3298726,912,3165,yangjia1991;captainidiot,1,71.18 ,2,0.04 ,944.50 ,3.00 ,1
14313,3298752,1772,2749,adamsgh;mwnowacki,1,35.54 ,2,0.02 ,955.00 ,2.50 ,1
3288,33016,18,223,christophmolnar;casalicchio,1,91.93 ,2,1.11 ,3242.00 ,17.00 ,1
5174,330227,146,546,rejulien;chinta,1,73.26 ,2,2.51 ,2789.00 ,36.50 ,2
3288,33027,53,223,sarmentor;tiagocunha,1,76.23 ,2,0.17 ,3038.00 ,1.50 ,1
14313,3304185,2285,2749,rodrigolink;filipeleao87,1,16.88 ,2,0.02 ,1275.50 ,1.00 ,1
12500,3306778,125,3165,alexdenis;samchd,1,96.05 ,2,0.94 ,1606.00 ,5.50 ,1
3288,33084,6,223,srinivv;harishgp,1,97.31 ,2,0.63 ,3092.50 ,1.00 ,2
14313,3308575,468,2749,wky0702;leoniewith,1,82.98 ,2,0.01 ,1736.00 ,1.50 ,1
14313,3309899,1251,2749,vovanf98;donborjan,1,54.49 ,2,0.32 ,1581.00 ,11.00 ,1
5056,331486,1035,1971,jackieqizhu;flashb,1,47.49 ,2,0.02 ,1903.00 ,1.00 ,1
3288,33155,112,223,fernandorp;lmg46383;rafahernandez;jesusfbes,1,49.78 ,4,1.05 ,3168.50 ,18.00 ,1
14313,3315553,1753,2749,dondakeshimo;ymda198,1,36.23 ,2,0.02 ,1069.00 ,3.00 ,1
14313,3317871,1376,2749,danlingma;vivaroma,1,49.95 ,2,0.34 ,871.00 ,13.00 ,1
5056,331815,920,1971,gocreating;wakeup706,1,53.32 ,2,0.02 ,1841.50 ,1.00 ,1
